X,Y,Z,tempo
692462.2453,9272269.457,-1,12:06:10
692458.0251,9272269.102,-1.2,12:06:11
692456.7595,9272269.107,-1.2,12:06:12
692455.9144,9272268.74,-1.3,12:06:13
692455.0699,9272268.532,-1.3,12:06:14
692454.2248,9272268.166,-1.3,12:06:15
692453.3797,9272267.8,-1.3,12:06:16
692452.5354,9272267.645,-1.3,12:06:17
692452.1122,9272267.277,-1.3,12:06:18
692450.4226,9272266.703,-1.1,12:06:19
692449.5783,9272266.548,-1.1,12:06:20
692449.1544,9272265.969,-1.1,12:06:21
692448.3106,9272265.972,-1.1,12:06:22
692447.4655,9272265.606,-1.1,12:06:23
692446.6212,9272265.45,-1,12:06:24
692445.7761,9272265.084,-1,12:06:25
692445.3509,9272264.136,-1,12:06:26
692445.3509,9272264.136,-1,12:06:27
692443.2357,9272262.509,-1,12:06:28
692441.968,9272261.933,-1,12:06:29
692441.1217,9272261.198,-1,12:06:30
692440.2748,9272260.304,-1,12:06:31
692439.4279,9272259.411,-0.9,12:06:32
692438.1589,9272258.466,-0.9,12:06:33
692437.312,9272257.572,-0.9,12:06:34
692436.0424,9272256.469,-0.9,12:06:35
692436.0424,9272256.469,-0.8,12:06:36
692432.6589,9272254.055,-0.8,12:06:37
692431.3906,9272253.321,-0.8,12:06:38
692430.1244,9272253.168,-0.8,12:06:39
692429.2799,9272252.96,-0.8,12:06:40
692427.591,9272252.596,-0.8,12:06:41
692425.9009,9272251.864,-0.8,12:06:42
692424.6333,9272251.341,-0.7,12:06:43
692423.7883,9272250.975,-0.7,12:06:44
692420.8324,9272250.247,-0.7,12:06:45
692419.5681,9272250.62,-0.7,12:06:46
692418.723,9272250.254,-0.8,12:06:47
692417.8785,9272250.046,-0.8,12:06:48
692416.6122,9272249.892,-0.7,12:06:49
692415.3471,9272250.055,-0.7,12:06:50
692414.0809,9272249.901,-0.7,12:06:51
692412.8165,9272250.275,-0.7,12:06:52
692412.8165,9272250.275,-0.7,12:06:53
692408.6007,9272251.186,-0.6,12:06:54
692408.1782,9272251.029,-0.6,12:06:55
692406.9126,9272251.033,-0.6,12:06:56
692406.4912,9272251.193,-0.6,12:06:57
692406.0693,9272251.195,-0.6,12:06:58
692404.3818,9272251.2,-0.6,12:06:59
692403.5387,9272251.414,-0.6,12:07:00
692402.2736,9272251.577,-0.6,12:07:01
692399.7448,9272252.324,-0.6,12:07:02
692398.0585,9272252.699,-0.6,12:07:03
692396.373,9272253.285,-0.6,12:07:04
692395.1086,9272253.659,-0.6,12:07:05
692393.4241,9272254.561,-0.6,12:07:06
692392.5803,9272254.564,-0.6,12:07:07
692390.8922,9272254.412,-0.6,12:07:08
692389.6284,9272254.943,-0.6,12:07:09
692389.6284,9272254.943,-0.6,12:07:10
692387.1029,9272256.64,-0.6,12:07:11
692386.2591,9272256.643,-0.6,12:07:12
692385.839,9272257.172,-0.6,12:07:13
692384.5741,9272257.387,-0.6,12:07:14
692384.5741,9272257.387,-0.6,12:07:15
692384.1496,9272256.65,-0.6,12:07:16
692383.7277,9272256.652,-0.6,12:07:17
692382.8845,9272256.813,-0.6,12:07:18
692382.8845,9272256.813,-0.6,12:07:19
692380.3513,9272256.294,-0.6,12:07:20
692379.5068,9272256.086,-0.6,12:07:21
692379.0856,9272256.299,-0.6,12:07:22
692378.2419,9272256.301,-0.6,12:07:23
692377.3973,9272256.093,-0.6,12:07:24
692376.9742,9272255.726,-0.6,12:07:25
692376.9723,9272255.198,-0.6,12:07:26
692376.1273,9272254.832,-0.6,12:07:27
692374.4389,9272254.627,-0.6,12:07:28
692374.0152,9272254.101,-0.6,12:07:29
692373.1727,9272254.473,-0.6,12:07:30
692371.907,9272254.478,-0.6,12:07:31
692371.0638,9272254.639,-0.6,12:07:32
692370.222,9272255.222,-0.6,12:07:33
692368.9569,9272255.385,-0.6,12:07:34
692368.1139,9272255.598,-0.6,12:07:35
692368.1139,9272255.598,-0.6,12:07:36
692364.3187,9272256.139,-0.6,12:07:37
692363.0524,9272255.985,-0.6,12:07:38
692361.7873,9272256.148,-0.6,12:07:39
692360.9443,9272256.362,-0.6,12:07:40
692360.1005,9272256.365,-0.6,12:07:41
692359.2572,9272256.526,-0.6,12:07:42
692358.4135,9272256.529,-0.6,12:07:43
692357.1485,9272256.744,-0.6,12:07:44
692357.1485,9272256.744,-0.6,12:07:45
692355.0409,9272257.279,-0.6,12:07:46
692354.1978,9272257.493,-0.6,12:07:47
692353.7759,9272257.494,-0.6,12:07:48
692352.9334,9272257.866,-0.6,12:07:49
692352.0884,9272257.5,-0.6,12:07:50
692351.2459,9272257.872,-0.6,12:07:51
692351.2459,9272257.872,-0.6,12:07:52
692350.4021,9272257.875,-0.6,12:07:53
692350.4021,9272257.875,-0.6,12:07:54
692350.4021,9272257.875,-0.6,12:07:55
692350.4026,9272258.033,-0.6,12:07:56
692350.4021,9272257.875,-0.6,12:07:57
692350.4013,9272257.664,-0.6,12:07:58
692350.4013,9272257.664,-0.6,12:07:59
692350.4013,9272257.664,-0.6,12:08:00
692350.3995,9272257.137,-0.6,12:08:01
692350.3995,9272257.137,-0.6,12:08:02
692350.3995,9272257.137,-0.6,12:08:03
692350.3995,9272257.137,-0.6,12:08:04
692350.3995,9272257.137,-0.6,12:08:05
692350.3995,9272257.137,-0.6,12:08:06
692350.3995,9272257.137,-0.6,12:08:07
692350.3995,9272257.137,-0.6,12:08:08
692350.3995,9272257.137,-0.6,12:08:09
692350.3995,9272257.137,-0.6,12:08:10
692350.3995,9272257.137,-0.6,12:08:11
692350.3995,9272257.137,-0.6,12:08:12
692350.3995,9272257.137,-0.6,12:08:13
692350.3995,9272257.137,-0.6,12:08:14
692350.3995,9272257.137,-0.6,12:08:15
692350.3995,9272257.137,-0.6,12:08:16
692350.3995,9272257.137,-0.6,12:08:17
692350.3995,9272257.137,-0.6,12:08:18
692350.3995,9272257.137,-0.6,12:08:19
692350.3995,9272257.137,-0.6,12:08:20
692350.3995,9272257.137,-0.6,12:08:21
692350.3995,9272257.137,-0.6,12:08:22
692350.3995,9272257.137,-0.6,12:08:23
692350.3995,9272257.137,-0.6,12:08:24
692350.3995,9272257.137,-0.6,12:08:25
692350.3995,9272257.137,-0.6,12:08:26
692350.3995,9272257.137,-0.6,12:08:27
692350.3995,9272257.137,-0.6,12:08:28
692350.3995,9272257.137,-0.6,12:08:29
692350.3995,9272257.137,-0.6,12:08:30
692350.3995,9272257.137,-0.6,12:08:31
692350.3995,9272257.137,-0.6,12:08:32
692350.3995,9272257.137,-0.6,12:08:33
692350.3995,9272257.137,-0.6,12:08:34
692350.3995,9272257.137,-0.6,12:08:35
692350.3995,9272257.137,-0.6,12:08:36
692350.3995,9272257.137,-0.6,12:08:37
692350.3995,9272257.137,-0.6,12:08:38
692350.3995,9272257.137,-0.6,12:08:39
692350.3995,9272257.137,-0.6,12:08:40
692350.3995,9272257.137,-0.6,12:08:41
692350.3995,9272257.137,-0.6,12:08:42
692350.3995,9272257.137,-0.6,12:08:43
692350.3995,9272257.137,-0.6,12:08:44
692350.3995,9272257.137,-0.6,12:08:45
692350.3995,9272257.137,-0.6,12:08:46
692350.3995,9272257.137,-0.6,12:08:47
692350.3995,9272257.137,-0.6,12:08:48
692350.3995,9272257.137,-0.6,12:08:49
